145,Zoltan Haindrich,2023-05-12 01:30:41-05,ab2cccb6e2b10008c2604af96be71ed8709ecb22,Post-release 2.11.0,Adjust the upgrade/downgrade scripts and add the tests.  (cherry picked from commit d5fea0a842cbd38d2d72db16e9e67f1c9b1ccf36)
239,Fabrízio de Royes Mello,2023-04-04 15:31:33-05,6440bb3477eef183459272cb90f6ffa8bf30b682,Remove unused function,Remove unused function `invalidation_threshold_htid_found`.
305,Maheedhar PV,2023-02-21 11:33:46-06,c8c50dad7eca4f7425bfb9980b872a1c44201ceb,Post-release fixes for 2.10.0,Bumping the previous version and adding tests for 2.10.0
308,Sven Klemm,2023-02-20 06:31:19-06,09766343997aa903f9d6a1ab14bcfc49a0045864,Set name for COPY insert buffer hash table,Having the hash table named makes debugging easier as the name is used for the MemoryContext used by the hash table.
379,Mats Kindahl,2023-01-16 02:24:32-06,8f4fa8e4cca73f11d3892ce6afde04ca104465d2,Add build matrix to Windows and Linux builds,"Build matrix is missing from the ignore workflows for the Windows and Linux builds, so this commit adds them."
429,Matvey Arye,2022-12-07 20:14:06-06,df16815009b6353383c720e364e1b3d2c82f8867,Fix memory leak for compression with merge chunks,The RelationInitIndexAccessInfo call leaks cache memory and seems to be unnecessary.
377,Jan Nidzwetzki,2023-01-17 01:46:21-06,19065bbdf39d2536a227041331adf24ffb38ffdc,Introduce a FDW option to mark reference tables,"With this patch, the ability to mark reference tables (tables that exist on all data nodes of a multi-node installation) via an FDW option has been added."
458,Fabrízio de Royes Mello,2022-11-22 14:35:00-06,35fa891013bcba87515b026e7e7b0abb728f1a54,Add missing gitignore entry,Pull request #4998 introduced a new template SQL test file but missed to add the properly `.gitignore` entry to ignore generated test files.
494,Markos Fountoulakis,2022-11-10 02:55:22-06,e2b7c76c9c1d53edf15ea3d4d01d666a675a7c5f,Disable MERGE when using hypertables,Fixes #4930  Co-authored-by: Lakshmi Narayanan Sreethar <lakshmi@timescale.com>
0,Lakshmi Narayanan Sreethar,2023-09-05 10:33:21-05,44e41c12ab25e36c202f58e068ced262eadc8d16,Fix segfault in set_integer_now_func,"When an invalid function oid is passed to set_integer_now_func, it finds out that the function oid is invalid but before throwing the error, it calls ReleaseSysCache on an invalid tuple causing a segfault. Fixed that by removing the invalid call to ReleaseSysCache.  Fixes #6037"
1,Bharathy,2023-09-01 22:54:31-05,e66a40038e3c84fb1a68da67ad71caf75c64a027,Fix server crash on UPDATE of compressed chunk,UPDATE query with system attributes in WHERE clause causes server to crash. This patch fixes this issue by checking for system attributes and handle cases only for segmentby attributes in fill_predicate_context().  Fixes #6024
304,noctarius aka Christoph Engelbert,2023-01-09 10:20:38-06,0118e6b9520a4c45363e2c92d4664a91dd77e786,Support CAGG names in hypertable_(detailed_)size,This small patch adds support for continuous aggregates to the `hypertable_detailed_size` (and with that `hypertable_size`). It adds an additional check to see if a continuous aggregate exists if a hypertable with the given regclass name isn't found.
597,Sven Klemm,2022-09-27 12:49:42-05,940187936c93b6d78e702ded75d79d914f8fea96,Fix segfault when INNER JOINing hypertables,This fixing a segfault when INNER JOINing 2 hypertables that are ordered by time.
495,Fabrízio de Royes Mello,2022-11-11 11:42:22-06,9e276c58ee7b99ae479f4a544de12bbbcc84c211,"Revert ""Upload test results into the database""",This reverts commit 252cefb509153fadcb32741a27ec3fa977487049 because it broke our CI globally.
464,Fabrízio de Royes Mello,2022-11-18 13:26:05-06,a5b8c9b084aa6edd5eb8aeb38cc0ab16ecfd8ac4,Fix caggs on caggs tests on PG15,PR #4668 introduced the Hierarchical Continuous Aggregates (aka Continuous Aggregate on top of another Continuous Aggregate) but unfortunately we miss to fix the regression tests on PG15.
683,Sven Klemm,2022-08-18 02:20:38-05,1f6d69720d1efd53ec42df5fca5e54a85898a5c6,Add link to forum to README,This also replaces appveyor badge with link to Windows GitHub actions.
740,Sven Klemm,2022-07-25 02:43:32-05,3ea06f4984b4141dba4209ad2d4e431f149a3f55,Remove ubuntu 21.10 (impish) from package tests,Ubuntu 21.10 is EOL and we no longer build packages for it.
306,Jan Nidzwetzki,2023-01-24 02:48:07-06,e0be9eaa281527ee1cc8569ce025cfe64dca8574,Allow pushdown of reference table joins,"This patch adds the functionality that is needed to perform distributed, parallel joins on reference tables on access nodes. This code allows the pushdown of a join if:   * (1) The setting ""ts_guc_enable_per_data_node_queries"" is enabled  * (2) The outer relation is a distributed hypertable  * (3) The inner relation is marked as a reference table  * (4) The join is a left join or an inner join"
307,Dmitry Simonenko,2023-02-21 11:17:20-06,f12a361ef7de9566113ea79617d49d62597b4bd2,Add timeout argument to the ping_data_node(),This PR introduces a timeout argument and a new logic to the timescale_internal.ping_data_node() function which allows to handle io timeouts for nodes being unresponsive.  Fix #5312
741,Sven Klemm,2022-07-25 02:47:01-05,661a6507edd0ec9c9c14b9317a6178aa4fd866b5,Fix coccinelle CI action,Switch coccinelle CI action to ubuntu 22.04 because 21.10 is EOL and stopped working.
575,Sven Klemm,2022-10-08 09:55:42-05,2defb2b0b374b150dc1e678c03f621fb2f59ecf8,Improve job_crash_log test,Older versions seens to have problems when undef is passed to poll_query_until so we change the call to pass explicit query instead.
2,Jan Nidzwetzki,2023-08-29 14:13:51-05,c6a930897e9f9e9878db031cc7fb6ea79d721a74,Use Debian Bookworm for 32-bit tests,"So far, we have used Debian Buster (10) for our 32-bit tests. This distribution is EOL in ~1 year and contains an old LLVM version (7.0). LLVM 7 contains a few bugs that break the JIT functionality of PostgreSQL (missing mixed-sign 64-bit operands on 32-bit architectures / failed to resolve name __mulodi4).  This patch changes the used Distribution for 32-bit tests to Debian Bookworm (12 / LLVM 14). Since the PostgreSQL download server no longer offers 32-bit Debian packages, PostgreSQL is built from source."
3,Lakshmi Narayanan Sreethar,2023-08-28 12:49:22-05,8e941b80ae1b0e0b6affe5431454cdc637628d99,Fix incorrect row count in EXPLAIN ANALYZE INSERT .. ON CONFLICT output,INSERT ... ON CONFLICT statements record few metrics in the ModifyTable node's instrument but they get overwritten by hypertable_modify_explain causing wrong output in EXPLAIN ANALYZE statments. Fix it by saving the metrics into HypertableModify node before replacing them.  Fixes #6014
901,Alexander Kuzmenkov,2022-04-21 08:56:05-05,a1e76d2e84a0b5c53bf8864f51c7cc365be2e231,Follow-up for compressed chunk collation #4236,Add a changelog message and add a check for broken chunks to the update script.
4,Lakshmi Narayanan Sreethar,2023-05-30 10:02:29-05,caada43454e25d3098744fa6b675ac7d07390550,PG16: Fix concurrent update issues with MERGE.,PG16 commit postgres/postgres@9321c79c fixes an issue with concurrent update issues in MERGE. This patch adapts that fix into the MERGE support for hypertables as well.  postgres/postgres@9321c79c
921,Sven Klemm,2022-04-11 14:46:57-05,bdaa4607d4fa2322e65f779a24f3fa42f47b5b52,Post release 2.6.1,Add 2.6.1 to update and downgrade tests.
786,Alexander Kuzmenkov,2022-06-21 02:56:09-05,5c69adfb7e0fcda27d89c1b98eee2f9f94639e5d,Add more tests for errors on data nodes,Use a data type with faulty send/recv functions to test various error handling paths.
5,Sven Klemm,2023-08-29 11:13:24-05,e4facda540286b0affba47ccc63959fefe2a7b26,Add compatibility layer for _timescaledb_internal functions,With timescaledb 2.12 all the functions present in _timescaledb_internal were moved into the _timescaledb_functions schema to improve schema security. This patch adds a compatibility layer so external callers of these internal functions will not break and allow for more flexibility when migrating.
859,Sven Klemm,2022-05-14 09:38:13-05,54f56af3efba2a3735a406ccb0211584055ee440,Support wildcards in IGNORES,Add support for wildcards in IGNORES for regression tests.
